"text","diggCount","replyCommentTotal","createTimeISO","uniqueId","videoWebUrl","uid","cid","avatarThumbnail"
"Y si mejor arreglan los hospitales? Ponen mas camas por que nunca hay, dan medicamentos e insumos?","3379","43","2026-05-21T02:23:56.000Z","lluviavalza","https://www.tiktok.com/@telediario/video/7642063192079813908","6848868297174320134","7642165113873548039","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/9e9a76e9c3d55f23735f48d599ca6061~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=545974eb&x-expires=1780200000&x-signature=ZSJzFqulEt7XpticKdthrtF8IQ0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Mejor que pongan botes de basura por todo reforma 😩","8712","32","2026-05-21T00:31:23.000Z","aysichuy","https://www.tiktok.com/@telediario/video/7642063192079813908","6836392668319319045","7642136034546041620","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/f5c3ccf90776858911179fb49396300c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=56ff28a2&x-expires=1780200000&x-signature=iz8H2ixuJgDbgmlQSOM8JOwSY0c%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Sin mantenimiento estarán en cuanto acabe el mundial","269","3","2026-05-21T05:34:03.000Z","milenkacovarrubias69","https://www.tiktok.com/@telediario/video/7642063192079813908","7356800936743027717","7642214076073296658","https://p19-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/939b5b46290fbb9b4fcdf6227e53e5c0~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=ee85030b&x-expires=1780200000&x-signature=jftIcU6pomqoN0UN8OcuBVTTNDc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Dinero desperdiciado","136","11","2026-05-21T22:02:02.000Z","angelitoneza26","https://www.tiktok.com/@telediario/video/7642063192079813908","7360834246645466118","7642468682882712341","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/04bde230691371321cd2a8c0347b5186~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=2bce81b5&x-expires=1780200000&x-signature=Zc6tB2a1uzqHQYpnzylJ9j1Yr0w%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"y los medicamentos en insumos en los hospitales para cuando?","216","9","2026-05-21T05:20:32.000Z","sandras924","https://www.tiktok.com/@telediario/video/7642063192079813908","6979421030867616774","7642210632749597457","https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/c1fbfbed690605a1d29a5d447904fe42~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=617324a8&x-expires=1780200000&x-signature=SJfR%2F18nHvs9JkBhDvpXHmMCBF8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"esos baños deberian estar en el metro, no saben la falta que hacen","427","7","2026-05-21T23:35:12.000Z","joey.frase","https://www.tiktok.com/@telediario/video/7642063192079813908","7154213386967548934","7642492657394959112","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/380672d10b0bf967d2b4569ddcbfa4a1~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=f6884f44&x-expires=1780200000&x-signature=YQfZz6RbVpj0DG8nnzwFaoIKKsk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"para que después huela horrible","310","0","2026-05-21T01:25:08.000Z","dashs_v.e","https://www.tiktok.com/@telediario/video/7642063192079813908","6643841605407178758","7642149940416856833","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/363c019f9e53b341bcd9b6a40055a8f5~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c7848412&x-expires=1780200000&x-signature=FWU5Pn%2BVPZb8RH%2FUgLmK0NWOLKM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Baños? yo veo hoteles 🗿","118","4","2026-05-21T23:34:49.000Z","hellcat_ab","https://www.tiktok.com/@telediario/video/7642063192079813908","6947492680021345285","7642492566546481936","https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/7bebf10a2f0ba1461b59dd031cfac961~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=408da5d6&x-expires=1780200000&x-signature=hloOTuVGZYmWS4as42YWlVODjqU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Lástima que una vez que se acabe el mundial, ni mantenimiento tendrán","247","3","2026-05-21T02:10:50.000Z","theluismi_g","https://www.tiktok.com/@telediario/video/7642063192079813908","7082219466339746822","7642161732459496200","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/163cac94d88c98b27a27effca9b01343~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=ab5f27ee&x-expires=1780200000&x-signature=KN1LPsTwzvDEu45rMaxBDyfvx4I%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Nmmn arreglen el sistema de drenaje q se tapa bien feo xd","678","5","2026-05-21T22:25:00.000Z","angelchuloflaco2019","https://www.tiktok.com/@telediario/video/7642063192079813908","7082602398280631301","7642474410213982992","https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/c36a346868b690236131495a218b6832~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=cc826c20&x-expires=1780200000&x-signature=esr387hOvvQOehUtxVHlqa4YAQw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
